ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal,VizSide
143,"Desmond ""Des"" Abbott",M,21,184,87,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze,Gender
252,Youcef Abdi,M,30,178,66,Australia,AUS,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA,Gender
252,Youcef Abdi,M,34,178,66,Australia,AUS,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 3,000 metres Steeplechase",NA,Gender
257,Ali Abdo,M,19,169,74,Australia,AUS,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",NA,Gender
257,Ali Abdo,M,23,169,74,Australia,AUS,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Middleweight, Freestyle",NA,Gender
257,Ali Abdo,M,27,169,74,Australia,AUS,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Middleweight, Freestyle",NA,Gender
465,"Matthew ""Matt"" Abood",M,30,197,92,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,NA,Gender
465,"Matthew ""Matt"" Abood",M,30,197,92,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze,Gender
817,"Gerard ""Gerry"" Adams",M,38,177,70,Australia,AUS,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's epee, Individual",NA,Gender
817,"Gerard ""Gerry"" Adams",M,38,177,70,Australia,AUS,2000 Summer,2000,Summer,Sydney,Fencing,"Fencing Men's epee, Team",NA,Gender
823,Liam Adams,M,29,178,64,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's Marathon,NA,Gender
824,Luke Kendall Adams,M,27,189,70,Australia,AUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 20 kilometres Walk,NA,Gender
824,Luke Kendall Adams,M,31,189,70,Australia,AUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 20 kilometres Walk,NA,Gender
824,Luke Kendall Adams,M,31,189,70,Australia,AUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 50 kilometres Walk,NA,Gender
824,Luke Kendall Adams,M,35,189,70,Australia,AUS,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 50 kilometres Walk,NA,Gender
828,Maureen Adams,F,38,169,68,Australia,AUS,1976 Summer,1976,Summer,Montreal,Archery,Archery Women's Individual,NA,Gender
834,Paul Adams,M,24,185,98,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Skeet,NA,Gender
835,"Phillip Maxwell ""Phil"" Adams",M,39,163,93,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Shooting,"Shooting Men's Free Pistol, 50 metres",NA,Gender
835,"Phillip Maxwell ""Phil"" Adams",M,43,163,93,Australia,AUS,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Air Pistol, 10 metres",NA,Gender
835,"Phillip Maxwell ""Phil"" Adams",M,43,163,93,Australia,AUS,1988 Summer,1988,Summer,Seoul,Shooting,"Shooting Men's Free Pistol, 50 metres",NA,Gender
835,"Phillip Maxwell ""Phil"" Adams",M,46,163,93,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Air Pistol, 10 metres",NA,Gender
835,"Phillip Maxwell ""Phil"" Adams",M,46,163,93,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Shooting,"Shooting Men's Free Pistol, 50 metres",NA,Gender
835,"Phillip Maxwell ""Phil"" Adams",M,50,163,93,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Air Pistol, 10 metres",NA,Gender
835,"Phillip Maxwell ""Phil"" Adams",M,50,163,93,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Shooting,"Shooting Men's Free Pistol, 50 metres",NA,Gender
868,"Frances ""Fran"" Adcock",F,20,178,72,Australia,AUS,2004 Summer,2004,Summer,Athina,Swimming,Swimming Women's 200 metres Backstroke,NA,Gender
1186,Paul Agostino,M,21,184,84,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,NA,Gender
1311,"Nicholas Mark ""Nick"" A'Hern",M,23,169,61,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's 20 kilometres Walk,NA,Gender
1311,"Nicholas Mark ""Nick"" A'Hern",M,27,169,61,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 20 kilometres Walk,NA,Gender
1311,"Nicholas Mark ""Nick"" A'Hern",M,31,169,61,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 20 kilometres Walk,NA,Gender
1312,Michael H. G. Ah Matt,M,21,188,73,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Basketball,Basketball Men's Basketball,NA,Gender
1534,Brett Aitken,M,21,173,65,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver,Gender
1534,Brett Aitken,M,25,173,65,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,Gender
1534,Brett Aitken,M,29,173,65,Australia,AUS,2000 Summer,2000,Summer,Sydney,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",NA,Gender
1534,Brett Aitken,M,29,173,65,Australia,AUS,2000 Summer,2000,Summer,Sydney,Cycling,Cycling Men's Madison,Gold,Gender
1620,Bruce Robert Akers,M,19,165,74,Australia,AUS,1972 Summer,1972,Summer,Munich,Wrestling,"Wrestling Men's Welterweight, Freestyle",NA,Gender
1620,Bruce Robert Akers,M,23,165,74,Australia,AUS,1976 Summer,1976,Summer,Montreal,Wrestling,"Wrestling Men's Welterweight, Freestyle",NA,Gender
2221,Dianne Marie Alagich,F,21,169,64,Australia,AUS,2000 Summer,2000,Summer,Sydney,Football,Football Women's Football,NA,Gender
2221,Dianne Marie Alagich,F,25,169,64,Australia,AUS,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,NA,Gender
2321,Fiona Albert,F,25,174,70,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,NA,Gender
2439,Brett Alderman,M,25,190,91,Australia,AUS,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,NA,Gender
2442,Olympia Aldersey,F,24,183,75,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Coxed Eights,NA,Gender
2548,Fiona Michelle Alessandri (-Wildy),F,20,175,61,Australia,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 100 metres Butterfly,NA,Gender
2548,Fiona Michelle Alessandri (-Wildy),F,20,175,61,Australia,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Women's 4 x 100 metres Medley Relay,NA,Gender
2581,"Timothy ""Tim"" Alexander",M,23,185,80,Australia,AUS,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,NA,Gender
2581,"Timothy ""Tim"" Alexander",M,27,185,80,Australia,AUS,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,NA,Gender
2696,Peter Ali,M,24,194,91,Australia,AUS,1980 Summer,1980,Summer,Moskva,Basketball,Basketball Men's Basketball,NA,Gender
2802,Donald John Allan,M,22,180,73,Australia,AUS,1972 Summer,1972,Summer,Munich,Cycling,"Cycling Men's Road Race, Individual",NA,Gender
2802,Donald John Allan,M,22,180,73,Australia,AUS,1972 Summer,1972,Summer,Munich,Cycling,Cycling Men's 100 kilometres Team Time Trial,NA,Gender
2805,Mitchell Allan,M,18,180,72,Australia,AUS,2006 Winter,2006,Winter,Torino,Snowboarding,Snowboarding Men's Halfpipe,NA,Gender
2835,"Christopher ""Chris"" Allen (-Ellis)",M,24,177,68,Australia,AUS,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,NA,Gender
2835,"Christopher ""Chris"" Allen (-Ellis)",M,24,177,68,Australia,AUS,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Men's 30 kilometres,NA,Gender
2835,"Christopher ""Chris"" Allen (-Ellis)",M,24,177,68,Australia,AUS,1984 Winter,1984,Winter,Sarajevo,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,NA,Gender
2850,"Kate Ruth ""Katie"" Allen",F,26,170,65,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold,Gender
2850,"Kate Ruth ""Katie"" Allen",F,30,170,65,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,NA,Gender
2857,Malcolm Allen,M,23,185,74,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 400 metres Freestyle,NA,Gender
2857,Malcolm Allen,M,23,185,74,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA,Gender
2858,"Ian Graeme Keith ""Mick"" Allen",M,18,190,84,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Rowing,Rowing Men's Coxed Fours,NA,Gender
2858,"Ian Graeme Keith ""Mick"" Allen",M,22,190,84,Australia,AUS,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Fours,NA,Gender
2858,"Ian Graeme Keith ""Mick"" Allen",M,26,190,84,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Rowing,Rowing Men's Coxed Fours,NA,Gender
2860,Monique Marie Allen,F,16,157,46,Australia,AUS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Individual All-Around,NA,Gender
2860,Monique Marie Allen,F,16,157,46,Australia,AUS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Floor Exercise,NA,Gender
2860,Monique Marie Allen,F,16,157,46,Australia,AUS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Horse Vault,NA,Gender
2860,Monique Marie Allen,F,16,157,46,Australia,AUS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Uneven Bars,NA,Gender
2860,Monique Marie Allen,F,16,157,46,Australia,AUS,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Balance Beam,NA,Gender
2860,Monique Marie Allen,F,20,157,46,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Individual All-Around,NA,Gender
2860,Monique Marie Allen,F,20,157,46,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Team All-Around,NA,Gender
2860,Monique Marie Allen,F,20,157,46,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Floor Exercise,NA,Gender
2860,Monique Marie Allen,F,20,157,46,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Horse Vault,NA,Gender
2860,Monique Marie Allen,F,20,157,46,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Uneven Bars,NA,Gender
2860,Monique Marie Allen,F,20,157,46,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Balance Beam,NA,Gender
2875,"Sandra Louise ""Sandy"" Allen-Lewis",F,21,170,59,Australia,AUS,2000 Summer,2000,Summer,Sydney,Softball,Softball Women's Softball,Bronze,Gender
2875,"Sandra Louise ""Sandy"" Allen-Lewis",F,25,170,59,Australia,AUS,2004 Summer,2004,Summer,Athina,Softball,Softball Women's Softball,Silver,Gender
2875,"Sandra Louise ""Sandy"" Allen-Lewis",F,29,170,59,Australia,AUS,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Bronze,Gender
2885,Laura Colleen Gloria Alleway,F,26,178,72,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,NA,Gender
2928,"Edward James ""Ted"" Allsopp",M,30,179,80,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 20 kilometres Walk,NA,Gender
2928,"Edward James ""Ted"" Allsopp",M,30,179,80,Australia,AUS,1956 Summer,1956,Summer,Melbourne,Athletics,Athletics Men's 50 kilometres Walk,NA,Gender
2928,"Edward James ""Ted"" Allsopp",M,38,179,80,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Men's 50 kilometres Walk,NA,Gender
3001,Alexei Almoukov,M,19,173,73,Australia,AUS,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 10 kilometres Sprint,NA,Gender
3001,Alexei Almoukov,M,19,173,73,Australia,AUS,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 20 kilometres,NA,Gender
3001,Alexei Almoukov,M,23,173,73,Australia,AUS,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 10 kilometres Sprint,NA,Gender
3001,Alexei Almoukov,M,23,173,73,Australia,AUS,2014 Winter,2014,Winter,Sochi,Biathlon,Biathlon Men's 20 kilometres,NA,Gender
3015,John Aloisi,M,28,184,83,Australia,AUS,2004 Summer,2004,Summer,Athina,Football,Football Men's Football,NA,Gender
3016,Ross Aloisi,M,23,178,73,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,NA,Gender
3054,Uzodinma Anthony Alozie,M,25,171,79,Australia,AUS,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,NA,Gender
3347,Eloise Michelle Amberger,F,21,165,55,Australia,AUS,2008 Summer,2008,Summer,Beijing,Synchronized Swimming,Synchronized Swimming Women's Team,NA,Gender
3347,Eloise Michelle Amberger,F,25,165,55,Australia,AUS,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Duet,NA,Gender
3347,Eloise Michelle Amberger,F,25,165,55,Australia,AUS,2012 Summer,2012,Summer,London,Synchronized Swimming,Synchronized Swimming Women's Team,NA,Gender
3462,"Timothy ""Tim"" Amitrano",M,25,171,70,Australia,AUS,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Individual",NA,Gender
3494,"Judith Florence ""Judy"" Amoore-Pollock",F,24,163,55,Australia,AUS,1964 Summer,1964,Summer,Tokyo,Athletics,Athletics Women's 400 metres,Bronze,Gender
3494,"Judith Florence ""Judy"" Amoore-Pollock",F,36,163,55,Australia,AUS,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's 800 metres,NA,Gender
3494,"Judith Florence ""Judy"" Amoore-Pollock",F,36,163,55,Australia,AUS,1976 Summer,1976,Summer,Montreal,Athletics,"Athletics Women's 1,500 metres",NA,Gender
3711,David Emil Andersen,M,24,211,102,Australia,AUS,2004 Summer,2004,Summer,Athina,Basketball,Basketball Men's Basketball,NA,Gender
3711,David Emil Andersen,M,28,211,102,Australia,AUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,NA,Gender
3711,David Emil Andersen,M,32,211,102,Australia,AUS,2012 Summer,2012,Summer,London,Basketball,Basketball Men's Basketball,NA,Gender
3711,David Emil Andersen,M,36,211,102,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,NA,Gender
3800,"Christopher Daniel ""Chris"" Anderson",M,28,189,74,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's High Jump,NA,Gender
3803,Craig Anthony Anderson,M,19,187,86,Australia,AUS,2000 Summer,2000,Summer,Sydney,Baseball,Baseball Men's Baseball,NA,Gender
3803,Craig Anthony Anderson,M,23,187,86,Australia,AUS,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Silver,Gender
3809,David Lennon James Anderson,M,26,194,80,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's High Jump,NA,Gender
3831,John Edward Anderson,M,33,183,89,Australia,AUS,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Two Person Keelboat,Gold,Gender
3831,John Edward Anderson,M,36,183,89,Australia,AUS,1976 Summer,1976,Summer,Montreal,Sailing,Sailing Mixed Three Person Keelboat,NA,Gender
3859,John Scott Anderson,M,30,187,72,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Sailing,Sailing Mixed Multihull,Bronze,Gender
3864,"Thomas James ""Tom"" Anderson",M,29,183,89,Australia,AUS,1968 Summer,1968,Summer,Mexico City,Sailing,Sailing Mixed Three Person Keelboat,NA,Gender
3864,"Thomas James ""Tom"" Anderson",M,33,183,89,Australia,AUS,1972 Summer,1972,Summer,Munich,Sailing,Sailing Mixed Three Person Keelboat,Gold,Gender
3877,Kate Suzanne Anderson-Richardson,F,22,168,51,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Athletics,"Athletics Women's 5,000 metres",NA,Gender
3877,Kate Suzanne Anderson-Richardson,F,26,168,51,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,"Athletics Women's 5,000 metres",NA,Gender
3978,Ramon Dean Andersson,M,29,188,95,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Bronze,Gender
3978,Ramon Dean Andersson,M,33,188,95,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",NA,Gender
4145,"Janice ""Jan"" Andrew (-Thornett)",F,16,162,54,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 100 metres Butterfly,Bronze,Gender
4145,"Janice ""Jan"" Andrew (-Thornett)",F,16,162,54,Australia,AUS,1960 Summer,1960,Summer,Roma,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Silver,Gender
4147,Robert Andrew,M,30,188,74,Australia,AUS,1972 Summer,1972,Summer,Munich,Hockey,Hockey Men's Hockey,NA,Gender
4152,Jake Andrewartha,M,22,196,122,Australia,AUS,2012 Summer,2012,Summer,London,Judo,Judo Men's Heavyweight,NA,Gender
4163,"Michelle ""Shelley"" Andrews (-Mitchell)",F,24,168,59,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,Gold,Gender
4164,"Susan Elizabeth ""Sue"" Andrews",F,21,173,62,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Women's 4 x 400 metres Relay,NA,Gender
4164,"Susan Elizabeth ""Sue"" Andrews",F,29,173,62,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 800 metres,NA,Gender
4164,"Susan Elizabeth ""Sue"" Andrews",F,29,173,62,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Women's 4 x 400 metres Relay,NA,Gender
4250,David J. Anear,M,28,175,80,Australia,AUS,1976 Summer,1976,Summer,Montreal,Archery,Archery Men's Individual,NA,Gender
4413,Ashlee Ankudinoff,F,25,174,67,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Cycling,Cycling Women's Team Pursuit,NA,Gender
4414,Justin John Anlezark,M,23,188,127,Australia,AUS,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's Shot Put,NA,Gender
4414,Justin John Anlezark,M,26,188,127,Australia,AUS,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Shot Put,NA,Gender
4414,Justin John Anlezark,M,30,188,127,Australia,AUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Shot Put,NA,Gender
4418,Alyson Regina Annan,F,19,162,65,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Hockey,Hockey Women's Hockey,NA,Gender
4418,Alyson Regina Annan,F,23,162,65,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,Gold,Gender
4418,Alyson Regina Annan,F,27,162,65,Australia,AUS,2000 Summer,2000,Summer,Sydney,Hockey,Hockey Women's Hockey,Gold,Gender
4427,"Harry Maxwell ""Max"" Annett",M,29,188,88,Australia,AUS,1960 Summer,1960,Summer,Roma,Rowing,Rowing Men's Coxed Fours,NA,Gender
4433,"Christine Frances ""Chris"" Annison-Stanton",F,20,183,67,Australia,AUS,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Women's High Jump,NA,Gender
4433,"Christine Frances ""Chris"" Annison-Stanton",F,24,183,67,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Women's High Jump,NA,Gender
4433,"Christine Frances ""Chris"" Annison-Stanton",F,28,183,67,Australia,AUS,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Women's High Jump,NA,Gender
4474,"Christopher John ""Chris"" Anstey",M,25,213,112,Australia,AUS,2000 Summer,2000,Summer,Sydney,Basketball,Basketball Men's Basketball,NA,Gender
4474,"Christopher John ""Chris"" Anstey",M,33,213,112,Australia,AUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Men's Basketball,NA,Gender
4511,Mark Anthony,M,18,187,81,Australia,AUS,2008 Summer,2008,Summer,Beijing,Judo,Judo Men's Half-Middleweight,NA,Gender
4511,Mark Anthony,M,22,187,81,Australia,AUS,2012 Summer,2012,Summer,London,Judo,Judo Men's Middleweight,NA,Gender
4561,Peter Thomas Antonie,M,30,183,82,Australia,AUS,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Quadruple Sculls,NA,Gender
4561,Peter Thomas Antonie,M,34,183,82,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Rowing,Rowing Men's Double Sculls,Gold,Gender
4561,Peter Thomas Antonie,M,38,183,82,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Rowing,Rowing Men's Double Sculls,NA,Gender
4818,Zoe Arancini,F,25,170,70,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,NA,Gender
5096,Simon Graham Arkell,M,26,185,78,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Athletics,Athletics Men's Pole Vault,NA,Gender
5096,Simon Graham Arkell,M,30,185,78,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's Pole Vault,NA,Gender
5113,"Catherine Marie Joelle ""Cath"" Arlove",F,29,168,64,Australia,AUS,2000 Summer,2000,Summer,Sydney,Judo,Judo Women's Middleweight,NA,Gender
5113,"Catherine Marie Joelle ""Cath"" Arlove",F,33,168,64,Australia,AUS,2004 Summer,2004,Summer,Athina,Judo,Judo Women's Middleweight,NA,Gender
5113,"Catherine Marie Joelle ""Cath"" Arlove",F,37,168,64,Australia,AUS,2008 Summer,2008,Summer,Beijing,Judo,Judo Women's Half-Middleweight,NA,Gender
5114,Vyninka Rae Robyn Arlow,F,18,163,53,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Diving,Diving Women's Platform,NA,Gender
5114,Vyninka Rae Robyn Arlow,F,22,163,53,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Diving,Diving Women's Platform,NA,Gender
5158,Duncan John D'Arcy Armstrong,M,20,187,74,Australia,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 200 metres Freestyle,Gold,Gender
5158,Duncan John D'Arcy Armstrong,M,20,187,74,Australia,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 400 metres Freestyle,Silver,Gender
5158,Duncan John D'Arcy Armstrong,M,20,187,74,Australia,AUS,1988 Summer,1988,Summer,Seoul,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA,Gender
5158,Duncan John D'Arcy Armstrong,M,24,187,74,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,NA,Gender
5163,"Jennifer Margaret ""Jenny"" Armstrong",F,30,171,59,Australia,AUS,2000 Summer,2000,Summer,Sydney,Sailing,Sailing Women's Two Person Dinghy,Gold,Gender
5163,"Jennifer Margaret ""Jenny"" Armstrong",F,34,171,59,Australia,AUS,2004 Summer,2004,Summer,Athina,Sailing,Sailing Women's Two Person Dinghy,NA,Gender
5181,Daniel Arnamnart,M,22,178,80,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Backstroke,NA,Gender
5223,Graham James Arnold,M,25,180,80,Australia,AUS,1988 Summer,1988,Summer,Seoul,Football,Football Men's Football,NA,Gender
5227,Mackenzie Elizabeth Arnold,F,22,179,76,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,NA,Gender
5305,"Jessica Nicole ""Nic"" Arrold",F,22,166,63,Australia,AUS,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,NA,Gender
5305,"Jessica Nicole ""Nic"" Arrold",F,26,166,63,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,NA,Gender
5348,Mariafe Artacho del Solar,F,22,175,66,Australia-2,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Beach Volleyball,Beach Volleyball Women's Beach Volleyball,NA,Gender
5376,Wayne Arthurs,M,33,191,80,Australia,AUS,2004 Summer,2004,Summer,Athina,Tennis,Tennis Men's Singles,NA,Gender
5376,Wayne Arthurs,M,33,191,80,Australia,AUS,2004 Summer,2004,Summer,Athina,Tennis,Tennis Men's Doubles,NA,Gender
5532,Glenn Ashby,M,30,170,76,Australia,AUS,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed Multihull,Silver,Gender
5541,Simon Carl Asher,M,21,187,87,Australia,AUS,1988 Summer,1988,Summer,Seoul,Water Polo,Water Polo Men's Water Polo,NA,Gender
5541,Simon Carl Asher,M,24,187,87,Australia,AUS,1992 Summer,1992,Summer,Barcelona,Water Polo,Water Polo Men's Water Polo,NA,Gender
5577,Jessica Ashwood,F,19,173,64,Australia,AUS,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 800 metres Freestyle,NA,Gender
5577,Jessica Ashwood,F,23,173,64,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 400 metres Freestyle,NA,Gender
5577,Jessica Ashwood,F,23,173,64,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 800 metres Freestyle,NA,Gender
5577,Jessica Ashwood,F,23,173,64,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Silver,Gender
5650,Dina Aspandiyarova,F,32,158,65,Australia,AUS,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Women's Air Pistol, 10 metres",NA,Gender
5650,Dina Aspandiyarova,F,32,158,65,Australia,AUS,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Women's Sporting Pistol, 25 metres",NA,Gender
5650,Dina Aspandiyarova,F,36,158,65,Australia,AUS,2012 Summer,2012,Summer,London,Shooting,"Shooting Women's Air Pistol, 10 metres",NA,Gender
5820,Courtney Atkinson,M,28,176,68,Australia,AUS,2008 Summer,2008,Summer,Beijing,Triathlon,Triathlon Men's Olympic Distance,NA,Gender
5820,Courtney Atkinson,M,32,176,68,Australia,AUS,2012 Summer,2012,Summer,London,Triathlon,Triathlon Men's Olympic Distance,NA,Gender
5828,John David Atkinson,M,20,184,71,Australia,AUS,1984 Summer,1984,Summer,Los Angeles,Athletics,Athletics Men's High Jump,NA,Gender
5851,Teneal Attard,F,23,161,59,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,NA,Gender
5851,Teneal Attard,F,27,161,59,Australia,AUS,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,NA,Gender
